sentiment_6m,alpha_3factor,beta_mkt,factor_score,month,rank,ticker,formation_date
0.003969528224496614,0.05776522942579438,1.0857884977958745,0.7266666666666666,2020-03,9,AVY,2020-02-28
0.010493780965251581,0.05942480204386849,0.25294274226527014,0.6266666666666667,2020-03,10,WEC,2020-02-28
0.017352349220137737,0.16387812294045478,0.9047865061084508,0.8266666666666668,2020-04,1,CVS,2020-03-31
0.01137109320376987,0.13015053170252378,1.049311930678896,0.8266666666666668,2020-04,2,VRTX,2020-03-31
0.012700233575194361,0.5532691929728971,1.5386752276307325,0.8200000000000001,2020-04,3,NVDA,2020-03-31
0.01254252968454566,0.2735044300929042,0.8318207509659665,0.8200000000000001,2020-04,4,CHTR,2020-03-31
0.007226302510216122,0.3071020768182876,1.2863503267599476,0.7933333333333333,2020-04,5,NDSN,2020-03-31
0.017910905957642477,0.5209637723741631,1.5467242415354532,0.7866666666666667,2020-04,6,MPWR,2020-03-31
0.007877385639955128,0.19687610381598417,1.2730622599021084,0.7466666666666667,2020-04,7,PH,2020-03-31
0.015463181581131365,0.09409916439359656,0.883252315400609,0.7266666666666667,2020-04,8,LMT,2020-03-31
0.003969528224496614,0.014387540785244879,0.9988769335212598,0.6799999999999999,2020-04,9,AVY,2020-03-31
0.005623111216765311,0.09807985252645819,0.3671876275080886,0.6200000000000001,2020-04,10,CLX,2020-03-31
0.013118636702670744,0.3943763567389806,1.5613552997452862,0.8066666666666668,2020-05,1,NVDA,2020-04-30
0.016774111116925877,0.31613038150355555,1.5571824237128598,0.7866666666666667,2020-05,2,MPWR,2020-04-30
0.0075428884924485864,0.1368126143027126,1.033453147233359,0.7866666666666666,2020-05,3,VRTX,2020-04-30
0.012598261569055727,0.19124829465499207,0.8311961691675365,0.7733333333333334,2020-05,4,CHTR,2020-04-30
0.007310836561142452,0.1797559574692135,1.1302404894727958,0.7733333333333334,2020-05,5,DECK,2020-04-30
0.011766923470274795,0.27043220874142126,1.3186526109064265,0.7733333333333333,2020-05,6,PH,2020-04-30
0.007226302510216122,0.26889231712168765,1.260755102460715,0.7666666666666667,2020-05,7,NDSN,2020-04-30
0.00797877204481256,0.17407404496362128,1.149491833196058,0.7133333333333334,2020-05,8,PNC,2020-04-30
0.012995535462075736,0.18475029685509342,1.3582330598091465,0.6866666666666668,2020-05,9,GPN,2020-04-30
0.02294855643871915,0.11821376917512494,0.8557314597345396,0.6533333333333333,2020-05,10,LMT,2020-04-30
0.014686749745456,0.6701909922246596,1.2687647493651542,0.8600000000000001,2020-06,1,APO,2020-05-29
0.03026284465181922,0.18076669630438633,0.9193590588380749,0.8266666666666668,2020-06,2,NRG,2020-05-29
0.013089005892419495,0.6355700471075079,1.569145134958875,0.7800000000000001,2020-06,3,NVDA,2020-05-29
0.011443334347579012,0.20232379267458095,0.7999468687010273,0.7666666666666667,2020-06,4,CHTR,2020-05-29
0.01715967675582284,0.4674581507574949,1.5544089177349396,0.76,2020-06,5,MPWR,2020-05-29
0.022282542262831304,0.1619574570780521,1.1550037014040977,0.7533333333333334,2020-06,6,PNC,2020-05-29
0.021337547459733236,0.37269065919309224,1.3135394001701202,0.7533333333333334,2020-06,7,PH,2020-05-29
0.008940630325328106,0.12276136657293427,0.931329957477919,0.7533333333333334,2020-06,8,HBAN,2020-05-29
0.008536417810438974,0.1446225667470338,0.8418856917348008,0.7200000000000001,2020-06,9,CVS,2020-05-29
0.02265480020106717,0.054079623859195174,0.9726351119727096,0.6933333333333334,2020-06,10,D,2020-05-29
0.018547178039120298,0.6404870892342703,1.268568370924966,0.8666666666666667,2020-07,1,APO,2020-06-30
0.02219837414563964,0.14282896939984793,0.9368913218121745,0.8400000000000001,2020-07,2,HBAN,2020-06-30
0.012355455334919644,0.15012487938456934,0.8504567032147605,0.8200000000000001,2020-07,3,CVS,2020-06-30
0.021753784998682142,0.09787557034357593,1.0081597585311357,0.8133333333333335,2020-07,4,ARE,2020-06-30
0.011584501272888594,0.5361701640123191,1.5596088102467573,0.7800000000000001,2020-07,5,NVDA,2020-06-30
0.04057811885264027,0.34529384564244797,1.2929910602098915,0.7600000000000001,2020-07,6,PH,2020-06-30
0.013909189873153255,0.45050823251415656,1.5472006618138183,0.76,2020-07,7,MPWR,2020-06-30
0.011443334347579012,0.12129342157857328,0.7893071057000314,0.7133333333333335,2020-07,8,CHTR,2020-06-30
0.03026284465181922,0.0522983026390513,0.9284836810029475,0.6933333333333334,2020-07,9,NRG,2020-06-30
0.02270849258629442,0.055093226221508564,1.1577286364686938,0.6799999999999999,2020-07,10,PNC,2020-06-30
0.021753784998682146,0.11260335269397985,0.9993738725963813,0.8666666666666667,2020-08,1,ARE,2020-07-31
0.02210874153823449,0.14402300453044714,0.9292411762882699,0.8600000000000001,2020-08,2,HBAN,2020-07-31
0.02081278163111872,0.647404237956892,1.2688883568293228,0.8466666666666667,2020-08,3,APO,2020-07-31
0.0113495804914305,0.2520260081865674,0.7764477400696616,0.8133333333333334,2020-08,4,CHTR,2020-07-31
0.011736400162203155,0.5668870302784532,1.5459926922127882,0.7800000000000001,2020-08,5,NVDA,2020-07-31
0.029707154879967373,0.07382622541054244,0.9245123029483481,0.7666666666666667,2020-08,6,NRG,2020-07-31
0.040429462077559306,0.194174829991138,1.3143286481012253,0.7400000000000001,2020-08,7,PH,2020-07-31
0.012355455334919642,0.09019775058018273,0.8195103764218181,0.7333333333333335,2020-08,8,CVS,2020-07-31
0.01888359916795577,0.0693936906791937,1.2644849847039699,0.6466666666666667,2020-08,9,CDNS,2020-07-31
0.021168304272193128,0.03703204002534046,0.8166359573724717,0.6466666666666666,2020-08,10,LMT,2020-07-31
0.025174260723389803,0.18529048444499152,0.8490866729327647,0.8266666666666668,2020-09,1,FSLR,2020-08-31
0.01991547367698143,0.27604332678679816,1.299177950008748,0.8133333333333335,2020-09,2,APO,2020-08-31
0.02210874153823449,0.10492256007762926,0.9150843905107002,0.8066666666666668,2020-09,3,HBAN,2020-08-31
0.010790397250463091,0.6448323272626326,1.5262377457832819,0.8066666666666668,2020-09,4,NVDA,2020-08-31
0.018952233990329127,0.058245017525348636,1.0653431135607851,0.78,2020-09,5,HPQ,2020-08-31
0.03992703477679579,0.2532128372710231,1.3134899646748415,0.7733333333333333,2020-09,6,PH,2020-08-31
0.01389674376203585,0.09937037829598211,0.8626778715138433,0.7600000000000001,2020-09,7,DHR,2020-08-31
0.010910720642563166,0.1783340718772384,0.7869528030796565,0.76,2020-09,8,CHTR,2020-08-31
0.017781009454102742,0.0495942456027627,1.2405548379424336,0.6466666666666667,2020-09,9,CDNS,2020-08-31
0.02270849258629442,0.026969967997598293,1.1516305932411877,0.6333333333333333,2020-09,10,PNC,2020-08-31
0.02894411795826816,0.19402503962117781,0.9330800461470505,0.9066666666666667,2020-10,1,HBAN,2020-09-30
0.021192164406692852,0.3506927273052332,1.2904888935506,0.8466666666666667,2020-10,2,APO,2020-09-30
0.03992703477679579,0.2841476398576889,1.3020188819979204,0.8133333333333335,2020-10,3,PH,2020-09-30
0.023825628965324346,0.1679925640440565,0.8715219010269825,0.8133333333333334,2020-10,4,FSLR,2020-09-30
0.009726679090548446,0.16946924924249893,0.842980194996976,0.8066666666666668,2020-10,5,DHR,2020-09-30
0.02909196563001372,0.10000204979281031,1.140353230872161,0.7200000000000001,2020-10,6,PNC,2020-09-30
0.03230657964629471,0.09325082307671938,1.1042898910614087,0.72,2020-10,7,CTSH,2020-09-30
0.053490173130754444,0.12028834479220854,1.2267583684072152,0.7066666666666668,2020-10,8,MET,2020-09-30
0.01863278283013238,0.09194896626207912,1.0371700227434268,0.7066666666666667,2020-10,9,HPQ,2020-09-30
0.009249357240540641,0.16156641595662252,1.5631764153398193,0.6733333333333335,2020-10,10,LRCX,2020-09-30
0.022665079521931825,0.5497011933461255,0.8276675877362726,0.8866666666666667,2020-11,1,FSLR,2020-10-30
0.016940333185687897,0.29125733238913426,0.9302642791310496,0.8733333333333334,2020-11,2,HBAN,2020-10-30
0.009412683714082633,0.3362208934346042,0.8314360201231085,0.8666666666666668,2020-11,3,DHR,2020-10-30
0.03603749694647613,0.30323240866558687,1.2844762478502623,0.7866666666666667,2020-11,4,PH,2020-10-30
0.030002695818742115,0.16682601099117395,1.101992745309918,0.7866666666666667,2020-11,5,CTSH,2020-10-30
0.007645496137442082,0.2610715657915249,1.209871949535871,0.7733333333333334,2020-11,6,QCOM,2020-10-30
0.011956175168355307,0.12082414435274606,1.0505483045490953,0.7466666666666667,2020-11,7,HPQ,2020-10-30
0.023928930243802448,0.1610269867867596,1.2188207530583823,0.7066666666666668,2020-11,8,MET,2020-10-30
0.015287644201400661,0.07983730601952341,1.1211867415035959,0.6466666666666667,2020-11,9,PNC,2020-10-30
0.016865921162423633,0.12898319025357835,1.53770879266232,0.6200000000000001,2020-11,10,LRCX,2020-10-30
0.013712128358227866,0.3086706898381017,0.9099864030042165,0.8866666666666667,2020-12,1,HBAN,2020-11-30
0.009946150551476176,0.44799123874063124,0.8231456074156452,0.8866666666666667,2020-12,2,FSLR,2020-11-30
0.019240571392907038,0.3362866097087085,1.2798061893455157,0.8200000000000001,2020-12,3,PH,2020-11-30
0.006727742622532542,0.20393890942778095,0.8305242755786787,0.7600000000000001,2020-12,4,DHR,2020-11-30
0.00426136949994787,0.2966230398041497,1.22546700554847,0.76,2020-12,5,QCOM,2020-11-30
0.006059122572421397,0.1837174982201715,1.060381634586678,0.7533333333333334,2020-12,6,DELL,2020-11-30
0.013256850223692636,0.3084223771143878,1.5404860236928994,0.7266666666666668,2020-12,7,LRCX,2020-11-30
0.013065667852522835,0.19935273654886035,1.2157392689408917,0.6866666666666668,2020-12,8,MET,2020-11-30
0.00752794667684212,0.201336781757867,1.3122990426192964,0.6666666666666667,2020-12,9,FITB,2020-11-30
0.009874568572120062,0.04504189156318572,1.0510816746089904,0.6066666666666667,2020-12,10,HPQ,2020-11-30
0.00045438453791633485,0.3812418216157595,0.9136816166488011,0.9066666666666667,2021-01,1,HBAN,2020-12-31
0.00044833913090683167,0.24911113902098597,1.081806399800421,0.9,2021-01,2,DECK,2020-12-31
0.02024604616657136,0.38864310792690193,0.8271796214569648,0.8733333333333334,2021-01,3,FSLR,2020-12-31
0.0037768906822536513,0.21071800505472044,0.9155374181645917,0.8066666666666668,2021-01,4,NKE,2020-12-31
0.0033476867432159093,0.2465578439338942,1.2244495527120616,0.7866666666666667,2021-01,5,QCOM,2020-12-31
0.0010646845672338727,0.18391572971292286,0.9844581994750434,0.78,2021-01,6,POOL,2020-12-31
0.0005579236599188003,0.19881659591019446,1.1108602268901642,0.7533333333333334,2021-01,7,PNC,2020-12-31
0.0004483393083016078,0.2447222245140741,1.564209372528815,0.7066666666666667,2021-01,8,MPWR,2020-12-31
0.0059824202446237444,0.14508132103763138,1.0592082685486277,0.7,2021-01,9,DELL,2020-12-31
0.0064199405411879224,0.195353129811805,1.2417430177048732,0.6666666666666667,2021-01,10,CDNS,2020-12-31
0.0018101126970673993,0.6863725496473145,1.0658024652926172,0.9733333333333334,2021-02,1,ALB,2021-01-29
0.00045438453791633485,0.3976417324797326,0.9260296956321452,0.9066666666666667,2021-02,2,HBAN,2021-01-29
0.02050430617398686,0.4384522827862105,0.8485609646962007,0.8600000000000001,2021-02,3,FSLR,2021-01-29
0.0059824202446237444,0.1705022685443143,1.0587842582755445,0.7933333333333334,2021-02,4,DELL,2021-01-29
0.0033476867432159093,0.29614395073970057,1.2257247400084874,0.7933333333333334,2021-02,5,QCOM,2021-01-29
0.0064199405411879224,0.19500133886646182,1.2391808983437669,0.7333333333333334,2021-02,6,CDNS,2021-01-29
0.006727742622532542,0.18543366529874816,0.8175374171482026,0.7200000000000002,2021-02,7,DHR,2021-01-29
0.0010646845672338727,0.1269374774848006,0.9961208161667015,0.7066666666666668,2021-02,8,POOL,2021-01-29
0.0004483393083016078,0.2569197710008204,1.5823169059146236,0.7066666666666667,2021-02,9,MPWR,2021-01-29
0.00044833913090683167,0.16482662953723093,1.1022014007387642,0.7066666666666667,2021-02,10,DECK,2021-01-29
0.0018101126970673993,0.4270968707766624,1.0605662698108373,0.9666666666666668,2021-03,1,ALB,2021-02-26
